Light ID,Y,X,Position,Brightness Index Score,Color,Height,Directions Projected,Distance Cast,Building #,Switch Activated?,Other Info
CBNG10,43.91343,110.63491,The sixth light from the north on the west side of the building,3,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG11,43.91334,110.63465,The only light on the south side of the building,3,Blue-white,about 5.5 meters,S,10 meters,N/A (Auto Shop/Roads Shop),,
CBRS01,43.91179,110.63458,The only light on the west side of the building,3,Yellow-white,about 2.3 meters,"N, S, W",10 meters,N/A (Colter Bay Ranger Station),,
CBRV01,43.90572,110.64105,Light above the east entrance to the structure,3,White,about 4 meters,"N, E, S",50 meters,N/A (Colter Bay RV Office),,
CBVC01,43.90314,110.64352,North most light fixture on the northeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,NE,5 meters,218,,The vast majority of the light cast stays below the roof
CBVC02,43.90314,110.64349,Second from north light fixture on the northeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,NE,5 meters,218,,The vast majority of the light cast stays below the roof
CBVC03,43.90312,110.64349,Third from north light fixture on the northeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,NE,5 meters,218,,The vast majority of the light cast stays below the roof
CBVC04,43.90308,110.64343,The south most light fixture on the northeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,NE,5 meters,218,,The vast majority of the light cast stays below the roof
CBVC05,43.90310,110.64341,The east most light fixture on the southeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,,,218,,All light stays below roof
CBVC06,43.90306,110.64338,The middle light fixture on the southeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,,,218,,All light stays below roof
CBVC07,43.90300,110.64348,The west most light fixture on the southeast side of the structure beneath the walkway roof,3,Yellow-white,about 2.5 meters,S,30 meters,218,,
CBVC08,43.90301,110.64358,The light fixture above the porch on the southwest side of the structure,3,Yellow-white,about 3 meters,"SE, W, NW",40 meters,218,,
CBVC09,43.90301,110.64358,The light fixture above the stairs coming off the porch on the southwest side of the structure,3,Yellow-white,about 3 meters,"SE, SW",40 meters,218,,
CC01,43.90539,110.63894,Light fixture on the east side of the northeast entrance to the structure,1,Yellow-white,about 2 meters,"N, SE, NW",30 meters,N/A (Colter Bay Registration Office),,
CC02,43.90540,110.63895,Light fixture on the west side of the northeast entrance to the structure,1,Yellow-white,about 2 meters,"N, SE, NW",30 meters,N/A (Colter Bay Registration Office),,
CC03,43.90522,110.63914,Light fixture on the north side of the northwest side of the structure,3,White,about 2 meters,"N, W",40 meters,N/A (Colter Bay Registration Office),,
CC04,43.90504,110.63915,Light fixture on the south side of the northwest side of the structure,2,Yellow-white,about 2 meters,"N, W",40 meters,N/A (Colter Bay Registration Office),,
CC05,43.90498,110.63920,Light fixture on the southwest side of the structure,2,Yellow-white,about 2 meters,"SE, S, NW",40 meters,N/A (Colter Bay Registration Office),,
CC06,43.90503,110.63905,Light fixture on the southeast side of the structure,3,White,about 2 meters,"NE, E, SW",40 meters,N/A (Colter Bay Registration Office),,
CC07,43.90458,110.63987,Light on the north side of the structure by the entrance,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 202, 204)",X,
CC08,43.90319,110.64111,Light on the east side of the north entrance to the structure,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 219, 221, 223, 225, 227)",X,
CC09,43.90319,110.64100,Light on the west side of the north entrance to the structure,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 219, 221, 223, 225, 227)",X,
CC10,43.90291,110.64099,Light on the north side of the structure,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 231, 233)",X,
CC11,43.90409,110.63966,Light on the south side of the structure next to the door to room 408,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 402, 404, 406, 408, 410, 412, 414)",X,
CC12,43.90393,110.63992,Light on the south side of the structure next to the entrance to room 416,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 416, 418)",X,
CC13,43.90304,110.64034,Light on the north side of the structure by the entrance to room 435,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 435, 437, 439, 441)",X,
CC14,43.90294,110.64041,Light on the north side of the structure between the entrances to rooms 439 and 441,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 435, 437, 439, 441)",X,
CC15,43.90303,110.64063,Light on the south side of the structure between the entracnes to rooms 436 and 438,1,White,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 436, 438)",X,
CC16,43.90261,110.64054,Light on the north side of the structure by the entrance to room 443,1,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 443, 445)",X,
CC17,43.90446,110.63861,Light on the east side of the structure by the entrance to room 606,1,Yellow-white,about 2 meters,"N, E, S",30 meters,"N/A (Colter Bay Cabin Rooms 606, 608)",X,
CC18,43.90363,110.63925,Light on the east side of the structure by the entrance to room 621,1,Yellow-white,about 2 meters,"N, E, S",30 meters,"N/A (Colter Bay Cabin Rooms 621, 623)",X,
CC19,43.90347,110.63931,Light on the west side of the structure by the entrance to room 623,1,Yellow-white,about 2 meters,"N, W, S",30 meters,"N/A (Colter Bay Cabin Rooms 621, 623)",X,
CC20,43.90367,110.63952,Light on the south side of the structure between the entrances to rooms 612 and 614,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 612, 614)",X,
CC21,43.90327,110.63986,Light on the south side of the structure by the entrance to room 624,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 624, 626, 628)",X,
CC22,43.90316,110.63981,Light on the south side of the structure by the entrance to room 628,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 624, 626, 628)",X,
CC23,43.90276,110.63966,Light is on the east side of the structure by the entrance to room 637,1,Yellow-white,about 2 meters,"N, E, S",30 meters,"N/A (Colter Bay Cabin Rooms 637, 639)",X,
CC24,43.90247,110.63978,Light is on the east side of the structure by the entrance to room 641,1,Yellow-white,about 2 meters,"N, E, S",30 meters,"N/A (Colter Bay Cabin Rooms 641, 643)",X,
CC25,43.90394,110.63771,Light is on the north side of the structure by the entrance to room 805,1,White,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 805, 807)",X,
CC26,43.90408,110.63815,Light on the south side of the structure by the entrance to room 806,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 806, 808)",X,
CC27,43.90365,110.63759,Light is on the south side of the strucure below the porch by the entrance to room 1008,1,Yellow-white,about 2 meters,S,30 meters,"N/A (Colter Bay Cabin Rooms 1006, 1008)",X,
CC28,43.90232,110.64091,Light fixture above the guest lounge sign on the south side of the structure,1,Yellow-white,about 2 meters,"E, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 454, 456, 458, Lounge)",X,
CC29,43.90224,110.64104,Light fixture on the west side of the guest lounge,1,Yellow-white,about 2 meters,"N, S, W",30 meters,"N/A (Colter Bay Cabin Rooms 454, 456, 458, Lounge)",X,
CC30,43.90166,110.64034,Light on the north side of the structure by the entrance to room 484,3,Yellow-white,about 2 meters,"N, E, W",30 meters,"N/A (Colter Bay Cabin Rooms 484, 486)",X,
CC31,43.90477,110.64128,North most light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC32,43.90445,110.64158,Second from north light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC33,43.90409,110.64194,Third from north light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC34,43.90373,110.64227,Fourth from north light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,"This light is more recessed within the fixture compared to others, and so projects light slightly more downward"
CC35,43.90341,110.64259,Fifth from north light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC36,43.90291,110.64218,South most light on the west side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC37,43.90331,110.64189,Second from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC38,43.90372,110.64146,Third from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC39,43.90407,110.64111,Fourth from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC40,43.90445,110.64075,Fifth from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,"This light is more recessed within the fixture compared to others, and so projects light slightly more downward."
CC41,43.90482,110.64039,Sixth from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,"This light is more recessed within the fixture compared to others, and so projects light slightly more downward"
CC42,43.90517,110.64026,Seventh from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC43,43.90562,110.63997,Eighth from south light on the east side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay North Parking Lot),,
CC44,43.90367,110.64306,East most light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC45,43.90398,110.64346,Second from east light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,"This light is more recessed within the fixture compared to others, and so projects light slightly more downward."
CC46,43.90485,110.64465,West most light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC47,43.90446,110.64507,West most light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC48,43.90419,110.64460,Second from west light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC49,43.90386,110.64423,Third from west light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC50,43.90358,110.64384,Fourth from west light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC51,43.90293,110.64311,Fifth light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay West Parking Lot),,
CC52,43.90245,110.64266,West most light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CC53,43.90166,110.64225,Second from west light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CC54,43.90125,110.64216,East most light on the south side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CC55,43.90122,110.64146,East most light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CC56,43.90166,110.64153,Second from east light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CC57,43.90213,110.64173,Third from east light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,"This light is more recessed within the fixture compared to others, and so projects light slightly more downward."
CC58,43.90249,110.64198,West most light on the north side of the parking lot,3,Orange,about 8 meters,"N, E, S, W",50 meters,N/A (Colter Bay East Parking Lot),,
CE17_01,43.91171,110.63739,The light is in the structure's northwest side doorway,3,White,about 2.5 meters,"NE, NW",15 meters,265,X,
CE18_01,43.91168,110.63683,The light is on the southeast side of south corner of the structure,3,Blue-white,about 4 meters,"NE, E, S, SW",20 meters,263,X,
CE27_01,43.91064,110.63769,Lamp illuminating the walkway to the building,2,Yellow-white,about 3 meters,"N, E, S, W",30 meters,1439,,There is a shield on the top of the fixture that directs light downward.  
CE27_02,43.91048,110.63779,Light fixture on the west wall of the entrance to the structure illuminating the lower porch,2,Yellow-white,about 2.5 meters,"N, E, S",30 meters,1439,X,There is a shield on the top of the fixture that directs light downward.  
CE27_03,43.91053,110.63778,Light fixture on the south wall of the structure illuminating the stairway,2,Yellow-white,about 2.5 meters,"N, E, W",30 meters,1439,,There is a shield on the top of the fixture that directs light downward.  
CE28_01,43.91059,110.63735,Lamp illuminating the walkway to the building,2,Yellow-white,about 3 meters,"N, E, S, W",30 meters,887,,There is a shield on the top of the fixture that directs light downward.  
CE28_02,43.91055,110.63731,Light fixture on the west wall of the entrance to the structure illuminating the lower porch ,2,Yellow-white,about 2.5 meters,"N, E, S",30 meters,887,X,There is a shield on the top of the fixture that directs light downward.  
CE28_03,43.91055,110.63729,Light fixture on the south wall of the structure illuminating the stairway,2,Yellow-white,about 2.5 meters,"N, E, W",30 meters,887,,There is a shield on the top of the fixture that directs light downward.  
CE28_04,43.91058,110.63734,Light fixture on the east wall of the entrance to the structure illuminating the upper porch,2,Yellow-white,about 2.5 meters,"N, S, W",30 meters,887,X,There is a shield on the top of the fixture that directs light downward.  
CECS_01,43.91082,110.63634,Light fixture illuminating a charging station on the southeast side of the structure,2,Yellow-white,about 2 meters,,,670,,Light is only down from the fixture because of a frame around the light that covers the light and only allows light to go down.
CECS_02,43.91085,110.63629,Light fixture on the northeast wall of the structure,2,Yellow-white,about 3 meters,"N, E, S",15 meters,670,,
CECS_03,43.91086,110.63629,Light fixture on the east side of the northwest wall of the structure,2,Yellow-white,about 3 meters,"N, E, W",15 meters,670,,
CECS_04,43.91092,110.63639,Light fixture on the west side of the northwest wall of the structure,2,Yellow-white,about 3 meters,"N, E, W",15 meters,670,,
CEW1,43.91175,110.63576,Located on the west end of the walkway between CE03 and CE04,4,White,about 3 meters,"N, E, S, W",5 meters,N/A (Between 245 and 246),,
DRCA1,43.93877,110.64180,Beneath roof on the north end of the west side of the Director's Cabin,1,Yellow-white,about 1.5 meters,"N, S, W",5 meters,1349,,
HI01,43.70845,110.72937,Light on the north side of the structure above the stairs to get into the upper part of the structure,3,Yellow-white,about 6 meters,"N, E, W",60 meters,1049,X,
JCCC01,43.90316,110.64146,Light fixture on the ceiling above walkway around structure on the north side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC02,43.90319,110.6415,Light fixture on the ceiling above walkway around structure on the north side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC03,43.90318,110.64156,Light fixture on the ceiling above walkway around structure on the north side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC04,43.90318,110.64162,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC05,43.90316,110.64167,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC06,43.90311,110.64171,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC07,43.90305,110.64168,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC08,43.90305,110.64168,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC09,43.90300,110.64170,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC10,43.90302,110.64173,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC11,43.90302,110.64177,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC12,43.90299,110.64181,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC13,43.90303,110.64188,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC14,43.90303,110.64188,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC15,43.90302,110.64185,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC16,43.90297,110.64185,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC17,43.90295,110.64185,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC18,43.90289,110.64186,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC19,43.90282,110.64187,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC20,43.90278,110.64189,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC21,43.90273,110.64190,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC22,43.90268,110.64187,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC23,43.90273,110.64186,Light fixture on the ceiling above walkway around structure on the west side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC24,43.90276,110.64183,Light fixture on the ceiling above walkway around structure on the south side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JCCC25,43.90276,110.64177,Light fixture on the ceiling above walkway around structure on the south side of the structure,3,White,about 3 meters,"N, S, W",10 meters,N/A (John Colter Café),,There is a shield around the light that restricts the beam of light down
JLGS01,43.75187,110.72161,The western-most light on the north side of the building below the porch roof,3,Yellow-white,about 4 meters,"N, E, W",5-20 meters,JS-01,,"The light is projected to the north, east, and west below the porch roof between 5m and 20m, depending on whether or not the porch roof obstructs the light's path in a given direction."
JLGS02,43.75170,110.72204,The second light from the west on the north side of the building below the porch roof ,3,Yellow-white,about 4 meters,"N, E, W",5-20 meters,JS-01,,"The light is projected to the north, east, and west below the porch roof between 5m and 20m, depending on whether or not the porch roof obstructs the light's path in a given direction."
JLGS03,43.75174,110.72222,The third light from the west on the north side of the building below the porch roof ,3,Yellow-white,about 4 meters,"N, E, W",5-20 meters,JS-01,,"The light is projected to the north, east, and west below the porch roof between 5m and 20m, depending on whether or not the porch roof obstructs the light's path in a given direction."
JLGS04,43.75179,110.72226,The only light on the east side of the building below the porch roof,3,Yellow-white,about 4 meters,"N, E, S",5-20 meters,JS-01,,"The light is projected to the north, east, and south below the porch roof between 5m and 20m, depending on whether or not the porch roof obstructs the light's path in a given direction."
JLGS05,43.75180,110.72216,The light above the lockers on the south side of the building below the porch roof,3,Yellow-white,about 4 meters,"E, S",5-20 meters,JS-01,,"The light is projected to the east, and south below the porch roof between 5m and 20m, depending on whether or not the porch roof obstructs the light's path in a given direction."
