"StrId","Materials","Openings","Condition","BatInhabitation","Lat","Lon","BuildingNum","BatSuit"
"CE24","Metal siding, and shingled roof.","There appears to be no openings in the structure.","The building is inhabited, and in good condition.","There was one piece of guano below the eves.",43.910826,-110.638039,1442,0
"CE25","Metal siding, and shingled roof.","There was one vent without a screen over it.","The building is inhabited, and is in very good condition.","There was two pieces of guano under separate eves.",43.910557,-110.638014,1441,0
"CE26","Metal siding with shingled roof.","There was one vent without a screen over it.","The building is inhabited, and in very good condition.","There was one piece of guano beneath the porch roof on the second story.",43.910293,-110.637796,1440,0
"CE28","Log walls with quarter rounds and standing seam roof.","There is a small gap between the eves and the top log, but it is covered by screen.  There are also some gaps between the quarter rounds and main logs that probably do not lead to the interior, but could be exploited as a roost.  There are also some cracks in the ceiling above the porch.","The building is in good condition, and is inhabited.","There was one piece of guano below the screened eves.",43.910742,-110.636469,887,0
"CE29","Chinked log walls with standing seam roof.","There was on small opening in the eves that did not lead to the interior, as well as some cracks in logs from dying that left open chambers in the logs.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.910776,-110.636593,888,0
"CE31","Chinked log walls with standing seam roof.","Any small gaps between eve boards are screened, and the roof eves are chinked.","The building is inhabited, and in good condition.","There was one piece of guano on the porch.",43.910548,-110.636782,890,0
"CECS","Brick walls with standing seam roof.","There appears to be no openings in this building.","The building is in good condition, and has laundry facilities, among other things.","There was no evidence of bat inhabitation.",43.910841,-110.636351,670,0
"CES1","Wood boards with shingled roof.","There appears to be no openings in this structure.","The building is used for storage, and is in very good condition.","There was no evidence of bat inhabitation.",43.911737,-110.635488,NA,0
"CES4","Wood board walls with standing seam roof.","There appeared to be no openings in the building.","The building is in good condition, and is used for storage.","There was no evidence of bat inhabitation.",43.911947,-110.638692,NA,0
"C1005","Log walls with chinking.  Tar and stone roof.","There appers to be no major openings in this structure.","The building is used to house guests, and is in good condition.","There was no one piece of guano beneath the eves.",43.903595,-110.637051,NA,0
"C1006","Log walls with chinking.  Tar and stone toof.","There are two holes by the entrance to the structure that have steel wool in them.","The structure is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.90368,-110.637585,NA,0
"C1016","Log walls with chinking.  Tar and stone wall.","There are small cracks between the eves.","The building is used to house guests, and is in good condition.","There was some guano beneath the eves on one side of the building.",43.903384,-110.638085,NA,0
"C1039","Wood board walls as well as log walls with chinking.  Standing seam roof.","There appears to be no major openings in the structure.","The building is used to house guests, and is in good condtion.","Evidence of Bat Inhabitation:There was guano in two places below the eves.",43.903068,-110.638088,NA,0
"C1047","Wood board walls as well as log walls with chinking.  Tar and stone roof.","There are some holes in the corners of the structure that are sealed with spray foam.","The building is used to house guests, and is in good condition","There was guano below the eves in multiple places.",43.903049,-110.638608,NA,0
"C1055","Wood board walls as well as some logs.  Tar and stone roof.","There are no major openings in the building.","The building is used to house guests, and is in very good condition.","There was one piece of guano beneath the eves.",43.903556,-110.638479,NA,0
"C209","Log walls with chinking as well as wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was a fair amount of guano within a corner of the entryway to the structure.",43.903439,-110.640757,NA,0
"C219","Log walls with chinking as well as wood board walls.  Tar and stone roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.903118,-110.641132,NA,0
"C231","Log walls with chinking as well as wood board walls.  Standing seam roof.","There are some gaps between eve boards.  There is also an opening in a corner of the south side of the structure that is patched with a rock and some screen.","The building is used to house guests, and is in good condition.","There was guano beneath the eves in multiple places.",43.902839,-110.641013,NA,0
"C417","Log walls with chinking and standing seam roof.","Tehre are some gaps between eve boards around the structure.","The building is used to house guests, and is in good condition.","There is guano below the eves all around the structure.",43.903969,-110.639372,NA,0
"C425","Log walls with chinking as well as wood board walls.  Standing seam roof.","There are some small gaps between eve boards.  There is also an opening in a corner of the standing seam and one between the eves and wall that are filled with spray foam.","The building is used to house guests, and is in good condition.","There was some small amounts of guano under the eves in multiple places around the structure.",43.9037,-110.639885,NA,0
"C436","Log walls with chinking as well as wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There were some small amounts of guano beneath the eves in multiple places around the structure.",43.903016,-110.64068,NA,0
"C459","Log walls with chinking, as well as wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There is some guano beneath the eves in multiple places.",43.902024,-110.640495,NA,0
"C471","Log walls with chinking, as well as some wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was some guano below the eves in multiple spots around the structure.",43.902101,-110.640059,NA,0
"C472","Log walls with chinking as well as some wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was gunao beneath the eves in multiple spots around the structure.",43.901751,-110.641054,NA,0
"C484","Log walls with chinking as well as some wood board walls.  Standing seam roof.","There are some gaps between eve boards.  There are also some openings between the eves and walls that are sealed with spray foam.","The building is used to house guests, and is in good condition.","There was some guano below the eves in multiple places around the structure.",43.901661,-110.640344,NA,0
"C602","Log walls with chinking.  Tar and stone roof.","There are gaps between the eve boards around the structure.  Some logs have cracks in them from drying.","The building is used to house guests, and is in good condition.","There was guano below the eves in multiple places around the structure.",43.904593,-110.638327,NA,0
"C612","Log walls with chinking as well as wood board walls.  Standing seam roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was guano beneath the eves in multiple spots around the structure.",43.903702,-110.639542,NA,0
"C621","Log walls with chinking as well as wood board walls.  Tar and stone roof.","There are some gaps between eve boards.  There is also a hole in the south wall that is patched with screen.","The building is used to house guests, and is in good condition.","There was guano beneath the eves in multiple places around the structure.",43.903558,-110.639223,NA,0
"C629","Log walls with chinking as well as wood board walls.  Tar and stone roof.","There appear to be no major openings in this structure.","The building is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.903122,-110.639522,NA,0
"C637","Log walls with chinking as well as wood board walls.  Tar and stone roof.","There are some gaps between the eves.  There is also a hole in the wall on the west side of the structure that is covered with screen.","The building is used to house guests, and is in good condition.","There was one piece of guano beneath the roof peak.",43.902723,-110.639629,NA,0
"C641","Log walls with chinking as well as wood board walls.  Tar and stone roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.902419,-110.63974,NA,0
"C805","Log walls with chinking and standing seam roof.","There are some gaps between eve boards, as well as cracks in logs from drying.","The building is used to house guests, and is in good condition.","There is guano below the eves all around the structure.",43.90385,-110.637698,NA,0
"C806","Log walls with chinking and standing seam roof.","There were some gaps between eve boards.","The building is used to house guests, and is in good condition.","There is guano below the eves all around the structure.",43.904091,-110.638222,NA,0
"C830","Log walls with chinking, as well as wood board walls.  Tar and stone roof.","There are some gaps between eve boards.","The building is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.902797,-110.639266,NA,0
"C839","Log walls with chinking.  Tar and stone roof.","There appears to be no openings in this structure.","The building is used to house guests, and is in good condition.","There was no evidence of bat inhabitation.",43.902482,-110.639002,NA,0
"CBBS","Wood board walls with standing seam roof.","There appears to be no major openings in the building.","The building is used as an office and retail area, and is in good condition.","There were areas on the east and west sides of the structure with some guano.",43.90149,-110.642932,NA,0
"CBIS","Log walls with chinking.  Tar and stone roof.","There appears to be no major openings in the structure.","The building is used to house guests, and is in good condition.","There were a few pieces of guano on the east side of the structure below the eves.",43.902934,-110.638942,NA,0
"CBVC","Wood board walls with tar and stone roof.","There appears to be no openings in this structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.903168,-110.643689,218,0
"JCCC","Wood board walls.  Tar and stone roof.","There are a few gaps between eve and ceiling boards.","The building is a restaurant, and is in good condition.","There was one spot above a light on the walkway ceiling that had two pieces of guano near it.",43.902897,-110.641629,NA,0
"CBES","Standing seam walls.","There is some material missing from the west side eves, but the missing material creates no openings to the interior of the building, as the wall material goes all the way to the roof.","The building is in very good condition, and is used to store emergency vehicles and equipment.","There is no evidence of bat inhabitation in this building.",43.91204,-110.63467,NA,0
"CBNG","Standing seam walls and roof.","There are no openings in this building.  All vents are covered with screen.","This building is in very good condition, and is used for storage.","There is no evidence of bats inhabiting this building.",43.91411,-110.3445,NA,0
"CBNM","Cinderblocks, wood boards, and standing seam roof.","All openings in building are covered with metal grates to prevent bat roosting.","The building is in good condition, and is used for storage and equipment maintenance.","There is no evidence that bats inhabit this building.",43.91282,-110.63536,NA,0
"CBRG","Standing seam walls and roof.","There are holes in the walls near the roof for I-beams to go through, but the inside may be sealed.","The building is in very good condition, and is used as a storage area.","There is no evidence of bat inhabitation on the exterior of the structure, and NPS staff in the complex said there were no bats in building.",43.91349,-110.6347,NA,0
"HC01","Chinked log walls with standing seam roof.","There are small gaps between porch ceiling boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There were small amount of guano below the porch ceiling and on one wall below the eves.",43.709067,-110.729401,1054,0
"HC02","Chinked log walls with standing seam roof.","There are small gaps between porch ceiling boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano below the porch ceiling.",43.70898,-110.729402,1053,0
"HC03","Chinked log walls with standing seam roof.","There are small gaps between porch ceiling boards.  Some logs are cracked from drying.  There was a hole in the porch ceiling.  There were holes on the east side of the structure that were patched with spray foam.","The building is in relatively good condition, and is a historic structure.","There was some guano below the porch ceiling, as well as in the hole in the porch ceiling. ",43.708891,-110.729408,1052,0
"HC04","Chinked log walls with standing seam roof.","There are small gaps between porch ceiling and eve boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano below the porch ceiling.",43.708666,-110.729429,1051,0
"HC05","Chinked log walls as well as wood board walls with standing seam roof.","There are small gaps between porch ceiling boards.  Some logs are cracked from drying.  There is a gap between two boards at one roof peak, creating an opening.","The building is in relatively good condition, and is a historic structure.","There was some guano below the eves on one wall of the structure.",43.70836,-110.729539,1046,0
"HC06","Chinked log walls with standing seam roof.","Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano below the top purlin on the front porch.",43.708364,-110.729755,1045,0
"HC07","Chinked log walls with standing seam roof.","There is a hole in the porch ceiling sealed with caulk.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano on the front porch.",43.708367,-110.729926,1044,0
"HC08","Chinked log walls with standing seam roof.","There are small gaps between eve boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano on two walls.  Some was below the eves, and some was below the shutters.",43.708528,-110.729945,1043,0
"HC09","Chinked log walls with standing seam roof.","There are small gaps between eve boards.  Some logs are cracked from drying.","The building is in relatively good condition.","There was some guano below the top purlin on the north side porch.",43.708612,-110.730055,1042,0
"HC10","Shiplap style log walls with standing seam roof.","There are small gaps between eve boards.  There is foil covering an opening beneath porch ceiling","The building is in relatively good condition, and is a historic structure.","There was some guano below the north side porch roof.",43.708674,-110.729933,1041,0
"HC13","Chinked log walls as well as wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in relatively good condition, and is a historic structure.","There was one piece of guano on a wall below the eves.",43.70885,-110.729785,1038,0
"HC14","Chinked log walls with standing seam roof.","There is mesh netting over the small cracks in the porch ceiling.  There are also some openings around beams that are sealed with spray foam and covered with mesh netting.","The building is in relatively good condition, and is a historic structure.","There was is a substantial amount of guano on the east side porch.  There are also fair amounts of guano on two walls below the eves.",43.708926,-110.729785,1037,0
"HC16","Chinked log walls and a standing seam roof.","There are some small gaps between porch ceiling and eve boards.","The building is in relatively good condition, and is a historic structure.","There are small amounts of guano in a few spots on walls under the eves.",43.709079,-110.729748,1035,0
"HDOR","Chinked log walls and a standing seam roof.","There are some small gaps between eve boards.","The building is in relatively good condition, and is a historic structure.","There was no evidence of bat inhabitation.",43.709162,-110.729939,1034,0
"HDP1","Chinked log walls with standing seam roof.","There are small gaps between porch ceiling and eve boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was no evidence of bat inhabitation.",43.708548,-110.729474,1050,0
"HTPC","Chinked log walls with standing seam roof.","There are small gaps between eve boards.  Some logs are cracked from drying.","The building is in relatively good condition, and is a historic structure.","There was some guano on the south wall below the eves.",43.708402,-110.729403,1049,0
"JLFR","Synthetic wood boards.","There appear to be no openings in the building.","The building is in good condition, and is used as a public bathroom.","There was no evidence of bat inhabitation.",43.750818,-110.724455,2005,0
"JLMR","Synthetic wood boards.","There appear to be no openings in the building.","The building is in good condition, and is used as a public bathroom.","There was no evidence of bat inhabitation.",43.750805,-110.724534,2004,0
"JLVC","Wood boards.","There appear to be no openings in the building.","The building is in good condition.","There is no evidence of bat inhabitation.",43.75214,-110.72163,NA,0
"DICE","Wood and standing seam walls.","There appears to be no openings in this building.","The building is relatively new, and in great condition.","There is no evidence of bat inhabitation.",43.653337,-110.718472,141,0
"GTAM","Wood walls with standing seam roof.","Beneath the eves are metal grates that cover any holes there.  Loovers have screens within them.  There appears to be no openings in the building that are not covered.","The building is in very good condition, and is used as an office building.","There is no evidence of bat inhabitation.",43.65585,-110.71652,NA,0
"MHC1","Concrete with inlayed stone walls.","There appears to be no openings in the building.","The building is in very good condition, and is used to house cell tower equipment.","There is no evidence of bat inhabitation.",43.65583,-110.71516,NA,0
"MHC2","Concrete with inlayed stone walls.","There appears to be no openings in the building.","The building is in very good condition, and is used to house cell tower equipment.","There is no evidence of bat inhabitation.",43.65586,-110.71507,NA,0
"MHQU","Stone and wood walls with a shingled roof.","The eves have a line of screen covering any holes in them.  There appears to be no openings in the building that are uncovered.","The building is in very good condition, and seems to be used as a utilities building.","There is no evidence of bat inhabitation.",43.65572,-110.71641,NA,0
"MHRC","Standing seam walls and roof.","There appear to be no openings in this building, besides a crack between the eves and wall on the west side that may not lead to the interior of the building.","The building is in very good condition.","There is no evidence of bat inhabitation.",43.6568,-110.71533,NA,0
"MHU3","Cinder blocks","There appears to be no openings in the building.","The building is in good condition, and is used for storage and utilities.","There is no evidence of bat inhabitation.",43.65572,-110.71522,NA,0
"MITG","Standing seam walls and roof","There appears to be some openings between the roof and walls, but they may not lead to the interior of the building.  There is also a pipe that leads into the building, but may not lead to the interior.","The building is in good condition, and appears to be used as a garage as well as IT offices.","There is no evidence of bat inhabitation.",43.65634,-110.71495,NA,0
"MNOB","Standing seam walls and roof.","There appear to be no openings in the building.","The building is in good condition, and appears to be used as an office building.","There is no evidence of bat inhabitation.",43.65733,-110.71482,NA,0
"MNSH","Wood walls and shingled roof","There are some cracks between the eves and the roof, but they are not very large.","The building is in fair condition, and is used for storage.","There was no evidence of bats inhabiting the building.",43.65797,-110.71381,NA,0
"MOHQ","The walls are standing seam and the roof is shingles."," Some of the joints where roofing panels come together have a hole that may or may not allow be a suitable roost area.  Any other potential openings or roost areas are covered by metal grates, screen, or cables with nail-like projections."," The building is in very good condition, and is used as an office building on the south end, as well as a garage complex on the north end.","There is no evidence of bat inhabitation in this building.",NA,NA,NA,0
"MOPO","Wood walls with a shaker roof.","There appear to be no openings in the building.  All junctures are tight.","The building is in very good condition.","There is no evidence of bat inhabitation.",43.65629,-110.71555,NA,0
"MPOS","Wood walls with a standing seam roof.","The only openings in this building are vents, and they have screens over them.","The building is in good condition, and appears to be used for storage.","There is no evidence of bat inhabitation.",43.65625,-110.7181,NA,0
"MSRR","Wood walls.","There appears to be no openings in the building.","The building is in good condition.","There is no evidence of bat inhabitation.",43.65543,-110.71532,NA,0
"MVFH","Concrete walls with standing seam roof.","There appears to be no openings in this building.","The building is in good condition, and is used to house fiber services.","There is no evidence of bat inhabitation.",43.65585,-110.71557,NA,0
"MC01","Log walls with standing seam roof.","There appeared to be no openings in this building that were not covered.  On the eves there is a strip of open material that is covered by screen.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.842587,-110.509064,355,0
"MC02","Wood board walls with standing seam roof.","There are some woodpecker holes in the walls, but they do not lead to the interior.  Other holes in the walls are patched with metal or wood.","The building is used as a garage, and is in very good condition.","There was no evidence of bat inhabitation.",43.842681,-110.509302,NA,0
"MC03","Log walls with standing seam roof.","The building appears to have no openings.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.84214,-110.509326,1428,0
"MC04","Log walls with standing seam roof.","The eves are vented with metal grates covering the openings.  There is an open vent, and there are some gaps between logs.  One hole in the eves is covered by screen, and openings around windows are sealed with foam and other materials.","The building is inhabited, and is in good condition.","There was no evidence of bat inhabitation.",43.841844,-110.508618,1430,0
"MC06","Log walls with standing seam roof.","There appears to be no openings in the structure.","The structure is inhabited, and in very good condition.","There was no evidence of bat inhabitation.",43.841651,-110.508302,1435,0
"MOSC","The walls are made of wood with a metal roof.","Any holes in the building are covered by screen or wires with nail-like projections to prevent bats and birds from roosting.","The building is in excellent condition, and is used as a school house.","Under a roofed entrance on the northeast side of the building, there is a large amount of guano.  There appears to be no central place that bats roost under this roof, with guano spread everywhere.  There is also trace amounts of guano in various places under the eves of the building.",43.84146,-110.50748,NA,0
"MUFC","Wood board walls with standing seam roof.","There were multiple small holes where boards met in corners that were infested with ants.","The building was used for housing, and is a historic structure.  It is in relatively good condition.","There was no evidence of bat inhabitation.",43.649655,-110.729724,991,0
"MUWG","Chinked log walls with standing seam roof.","There were no major openings in this structure.","The building is in good condition.  It is a historic structure.","There was no evidence of bat inhabitation.",43.650204,-110.728445,987,0
"S127","Chinked wood board walls with a standing seam roof.","There are no major openings in the building.","The building is in good condition.","There was no evidence of bat inhabitation.",43.845415,-110.609231,NA,0
"S129","Chinked wood board walls with a standing seam roof.","There are no major openings in the building.","The building is in good condition.","There was no evidence of bat inhabitation.",43.845415,-110.609386,NA,0
"S134","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was one piece of guano beneath the porch ceiling.",43.845565,-110.608772,16,0
"S136","Chinked log walls as well as wood board walls with standing seam roof.","There are some gaps between eve boards.  Some logs are cracked from drying.","The building is in good condition.","There was guano in multiple places beneath the eves and porch ceiling.",43.845741,-110.609195,17,0
"S142","Chinked log walls as well as wood board walls with standing seam roof.","There are some gaps between eve boards.  Some logs are cracked from drying.","The building is in good condition.","There was guano in various places beneath the eves and porch roof.",43.845824,-110.609654,19,0
"S148","Wood board walls with a standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There were relatively small amounts of guano beneath porch roofs and eves in multiple places.",43.844944,-110.610251,21,0
"S151","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was guano in various places beneath the eves and porch roof.",43.845772,-110.610167,22,0
"S155","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.845578,-110.610319,23,0
"S159","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.8453,-110.610477,24,0
"SED2","Stucco walls as well as wood board walls with standing seam roof.","Some woodpecker holes on the west side of the structure have been patched with metal.","The building is in good condition.","There was some guano on various walls around the structure in small quantities.",43.840769,-110.612972,32,0
"SED3","Stucco walls as well as wood board walls with standing seam roof.","There are no major openings in this structure.","The building is in good condition.","There was some guano on various walls around the structure in small quantities.",43.840959,-110.61263,33,0
"SED4","Wood board walls with standing seam roof.","There are no major openings in this structure.","The building is in good condition.","There was some guano on various walls around the structure in small quantities, and large quantities on the north and south ends below the roof peaks.",43.840317,-110.612875,34,0
"SED6","Wood board walls with standing seam roof.","The roof peaks have openings that are filled with foam.  One damaged louver is covered with screen.","The building is in relatively good condition.","There was some guano on various walls around the structure in small quantities.",43.839914,-110.612924,36,0
"SED7","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was some guano on various walls around the structure in small quantities.",43.84019,-110.61333,NA,0
"SMF1","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was a fair amount of guano on the west side of the structure beneath the eves.",43.842918,-110.611506,NA,0
"SMMC","Chinked log walls with a standing seam roof.","There are some gaps between eve boards.  Some logs are cracked from drying.  There is a window frame with a piece of plywood in place of the window.","The building is in good condition.","There was a small amount of guano below the eves in one spot.",43.844684,-110.610204,30,0
"SMMO","Shiplap style logs with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There were small amounts of guano in multiple places on the wall below the eves.",43.843905,-110.61173,4,0
"SMMU","Wood board walls with standing seam roof.","There are no major openings in this structure.","The building is in good condition.","There were small quantities of guano on various walls below the eves.  There was a significant amount of guano around louvers.",43.843159,-110.61166,2,0
"SMPH","Shiplap style log walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.841713,-110.611934,NA,0
"SMRK","Wood board walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.842376,-110.61181,NA,0
"SMRS","Shiplap style log walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was a small amount of guano on one wall of the structure.",43.842385,-110.612002,1130,0
"SMSL","Shiplap style log walls with standing seam roof.","There are no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",43.84251,-110.61164,NA,0
"TDPH","Wood board walls.","There appear to be no major openings in the structure.","The building is in good condition.","There was no evidence of bat inhabitation.",NA,NA,NA,0
"TX1C","Log walls with quarter rounds and standing seam roof.","There are many gaps between logs and quarter rounds, but nearly all have fiberglass insulation sealing them off.  There are also gaps between the eves and the wall that are sealed with spray foam. There are also three small holes on the west side of the structure.","The building is used to house ranch guests, and is in fair condition but is porous.","On the south eves therre is a substantial amount of guano.  This side of the building is likely a night roost.  There are trees tight to this side of the structure.",43.763947,-110.568222,695,0
"TXBE","Log walls with standing seam roof.","There are two small gaps between the eves and the wall.","The building is a residential structure, and is in good condition.","There was no evidence of bat inhabitation.",43.763535,-110.56547,4,0
